기간,자치구,계,국립도서관,공공도서관,대학도서관,전문도서관
2020,합계,542,3,188,88,263
2020,종로구,49,-,7,7,35
2020,중구,58,-,6,2,50
2020,용산구,21,-,4,3,14
2020,성동구,9,-,7,2,-
2020,광진구,11,-,5,3,3
2020,동대문구,20,-,6,4,10
2020,중랑구,8,-,5,2,1
2020,성북구,26,-,13,8,5
2020,강북구,11,-,7,3,1
2020,도봉구,8,-,7,1,-
2020,노원구,23,-,11,7,5
2020,은평구,12,-,8,1,3
2020,서대문구,20,-,4,11,5
2020,마포구,21,-,6,2,13
2020,양천구,13,-,9,-,4
2020,강서구,19,-,9,4,6
2020,구로구,17,-,11,3,3
2020,금천구,6,-,4,1,1
2020,영등포구,37,1,5,2,29
2020,동작구,16,-,6,5,5
2020,관악구,10,-,5,3,2
2020,서초구,53,2,8,8,35
2020,강남구,40,-,14,3,23
2020,송파구,22,-,12,2,8
2020,강동구,12,-,9,1,2
